Model,Scenario,Category,F1,MCC,FNR,FPR,F1_drop
Random Forest,Gaussian noise x0.5,Noise level,0.7598319266575433,0.6467160094569093,0.35035260930888573,0.046608315098468266,0.23663450443786305
Extra Trees,Gaussian noise x0.5,Noise level,0.8401522567404911,0.7469077652543118,0.23610719322990126,0.04223194748358862,0.15773059435336922
AdaBoost,Gaussian noise x0.5,Noise level,0.6657047636359911,0.5370101289265827,0.4640338504936531,0.05733041575492341,0.32513385510960446
Gradient Boosting,Gaussian noise x0.5,Noise level,0.7610586310678578,0.6150926992286865,0.30832157968970375,0.09759299781181618,0.23400135481781625
XGBoost,Gaussian noise x0.5,Noise level,0.7158833919604748,0.5980093512382769,0.40818053596614956,0.04748358862144421,0.28199945913338553
LightGBM,Gaussian noise x0.5,Noise level,0.7046419260627157,0.5663681928283993,0.40620592383638937,0.07089715536105032,0.2918344657625134
CatBoost,Gaussian noise x0.5,Noise level,0.7860462442822242,0.6734772381274506,0.308885754583921,0.052078774617067836,0.21183660681163607
KNN,Gaussian noise x0.5,Noise level,0.8998329026827442,0.8294177125988457,0.13455571227080396,0.04507658643326039,0.09522010085082477
GaussianNB,Gaussian noise x0.5,Noise level,0.531911471243361,0.3898496304742455,0.6031029619181946,0.07396061269146609,0.18849155142666418
SVM,Gaussian noise x0.5,Noise level,0.8903970141016924,0.8123149008456745,0.14047954866008464,0.05514223194748359,0.0998127761080978
MLP,Gaussian noise x0.5,Noise level,0.8684170644780845,0.7764902858565417,0.16868829337094499,0.06455142231947483,0.1252135087703231
Logistic Regression,Gaussian noise x1,Noise level,0.6527783911957238,0.38470357199207345,0.3486600846262341,0.2669584245076586,0.2480982102877557
Ridge Classifier,Gaussian noise x1,Noise level,0.6667563327045052,0.40295572697751236,0.3249647390691114,0.2711159737417943,0.152807447863902
SGD Classifier,Gaussian noise x1,Noise level,0.6513974532769853,0.38376842620952967,0.35204513399153736,0.2647702407002188,0.24995389807436608
Decision Tree,Gaussian noise x1,Noise level,0.5816868976124967,0.4251414950676346,0.544428772919605,0.08577680525164114,0.41549222791641727
Random Forest,Gaussian noise x1,Noise level,0.6427546978043062,0.47311722328546313,0.46346967559943586,0.10284463894967177,0.35371173329110017
Extra Trees,Gaussian noise x1,Noise level,0.708517120399537,0.555393977841819,0.38645980253878703,0.09146608315098467,0.28936573069432336
AdaBoost,Gaussian noise x1,Noise level,0.5150466513982446,0.39134343458039644,0.6262341325811002,0.059956236323851206,0.47579196734735096
Gradient Boosting,Gaussian noise x1,Noise level,0.6495164316103115,0.4353595976864934,0.4163610719322991,0.16564551422319473,0.34554355427536254
XGBoost,Gaussian noise x1,Noise level,0.6433898330254567,0.46324419596397304,0.4547249647390691,0.11597374179431072,0.3544930180684036
LightGBM,Gaussian noise x1,Noise level,0.5873170249556985,0.41157265071206695,0.5272214386459803,0.1061269146608315,0.4091593668695306
CatBoost,Gaussian noise x1,Noise level,0.6524426705443457,0.4666337881506218,0.4377997179125529,0.124945295404814,0.34544018054951464
KNN,Gaussian noise x1,Noise level,0.7678967169871997,0.6186569006783926,0.29026798307475316,0.1074398249452954,0.2271562865463692
GaussianNB,Gaussian noise x1,Noise level,0.487655331809711,0.3021916721114657,0.6296191819464034,0.11531728665207877,0.23274769086031422
SVM,Gaussian noise x1,Noise level,0.7523065826079173,0.5858775440099964,0.2947813822284908,0.1315098468271335,0.2379032076018729
MLP,Gaussian noise x1,Noise level,0.7373045729459365,0.5527920711159531,0.29732016925246824,0.1577680525164114,0.2563260003024711
Logistic Regression,Gaussian noise x2,Noise level,0.599105409490108,0.25846524529671844,0.36671368124118475,0.3728665207877462,0.30177119199337143
Ridge Classifier,Gaussian noise x2,Noise level,0.5972933959409295,0.2749093840546567,0.3915373765867419,0.33260393873085337,0.22227038462747772
SGD Classifier,Gaussian noise x2,Noise level,0.5968926310671827,0.2549855401830536,0.3698166431593794,0.37330415754923413,0.30445872028416865
Decision Tree,Gaussian noise x2,Noise level,0.47816828896657526,0.2994363113144135,0.6414668547249647,0.10919037199124726,0.5190108365623387
Random Forest,Gaussian noise x2,Noise level,0.5417062538710103,0.3189720977073566,0.5531734837799718,0.15689277899343546,0.454760177224396
Extra Trees,Gaussian noise x2,Noise level,0.5857405163136911,0.37887244441993795,0.5097320169252468,0.14223194748358864,0.41214233478016926
AdaBoost,Gaussian noise x2,Noise level,0.37876923863471396,0.2526007541229476,0.7444287729196051,0.07242888402625822,0.6120693801108816
Gradient Boosting,Gaussian noise x2,Noise level,0.5624916765900869,0.28736778141965597,0.49196050775740485,0.23129102844638952,0.4325683092955871
